-1,0
1,0.0252383
16,0.0133444
23,0.00686701
30,0.00413338
31,0.00196109
32,0.00161546
33,0
39,0.000626183
43,0.00131061
47,0
51,0
55,0.00217168
59,0
63,0
66,0.000779775
69,0.000772694
72,0.000570191
75,0.000575693
78,0
81,0.000787393
84,0.000690467
87,0
90,0.00245686
93,0.000577747
96,0
99,0.00158211
102,0
105,0
108,0
113,0
123,0.0014171
124,0.00218605
125,0.000781367
126,0
127,0.000499955
128,0
129,0.000776612
134,0
140,0
146,0.000776612
151,0
158,0.000779379
163,0
164,0.00236705
165,0.000634252
166,0
172,0
176,0
179,0
182,0.00113214
185,0.000775432
188,0.00155322
191,0
194,0
197,0
200,0
203,0
206,0
